timestamp,face_id,engaged,sleepy,smoothed_yaw
1772339540.200059,0,True,False,0.0
1772339540.3922374,0,True,False,-0.035353119796963206
1772339540.4397345,0,True,False,0.15654110884202824
1772339540.4922483,0,True,False,-0.23391838416550748
1772339540.553721,0,True,False,-0.3756821597043114
1772339540.6041496,0,True,False,-0.7848730796638929
1772339540.6548445,0,True,False,-0.17526150007103994
1772339540.70442,0,True,False,-0.03107636897916599
1772339540.7509449,0,True,False,0.356336982926614
1772339540.8056035,0,True,False,0.8342575133742226
1772339540.8485532,0,True,False,0.9749831121037171
1772339540.8958895,0,True,False,0.4677102682416493
1772339540.9351175,0,True,False,0.046574137239533894
1772339540.9681325,0,True,False,0.10911576224281383
1772339541.0184703,0,True,False,0.6376294320200785
1772339541.063094,0,True,False,1.599983125265132
1772339541.1136003,0,True,False,4.149084687953082
1772339541.1639605,0,True,False,7.018307285584972
1772339541.2080953,0,True,False,10.274450858781444
1772339541.2589066,0,True,False,13.125494281785327
1772339541.3026028,0,True,False,15.089102785805693
1772339541.3505797,0,True,False,14.795081981704953
1772339541.3975575,0,True,False,13.86172886581777
1772339541.4437313,0,True,False,13.828264545188702
1772339541.4925718,0,True,False,13.595948900802858
1772339541.5391693,0,True,False,13.8632501239258
1772339541.590608,0,True,False,15.706324930686964
1772339541.63451,0,True,False,16.906308440280913
1772339541.6810036,0,True,False,17.321068847614413
1772339541.7290761,0,True,False,17.12527255457865
1772339541.7925837,0,True,False,17.613676148207194
1772339541.8455925,0,True,False,15.602519289122512
1772339541.884505,0,True,False,17.772615389953124
1772339541.9285219,0,True,False,20.285654034662688
1772339541.9772239,0,True,False,24.623210546477
1772339542.0256758,0,True,False,28.849503263345447
1772339542.0719473,0,True,False,35.240353294784335
1772339542.1192677,0,True,False,38.78958840427423
1772339542.171818,0,False,False,41.91708256023547
1772339542.2164714,0,False,False,44.087750942278674
1772339542.261452,0,False,False,46.25730932822137
1772339542.3123999,0,False,False,46.972018106620894
1772339542.35466,0,False,False,47.81392957810088
1772339542.3990545,0,False,False,47.441634481497154
1772339542.460314,0,False,False,48.19199444683996
1772339542.517405,0,False,False,49.0020815852801
1772339542.5612667,0,False,False,50.49194948402364
1772339542.6087334,0,False,False,51.65767785107048
1772339542.6499107,0,False,False,53.30433941179278
1772339542.6995187,0,False,False,53.65102802127702
1772339542.7507787,0,False,False,53.65367090036396
1772339542.7989728,0,False,False,53.162067930433594
1772339542.8404098,0,False,False,52.57578633176907
1772339542.8876605,0,False,False,51.90204960247737
1772339542.9380505,0,False,False,50.89015481591814
1772339542.9846349,0,False,False,49.85218958672305
1772339543.0493672,0,False,False,48.919686634835024
1772339543.1234462,0,False,False,46.56574214441888
1772339543.170027,0,False,False,44.1368861233946
1772339543.216344,0,False,False,41.663503815237306
1772339543.2648742,0,False,False,39.43069251920637
1772339543.3168182,0,False,False,36.252273470280464
1772339543.3617527,0,False,False,34.359421383536514
1772339543.4118693,0,False,False,32.76335191012993
1772339543.4629955,0,False,False,30.03143663053953
1772339543.5073342,0,False,False,27.591423057253348
